line1,line2,line3,city,stateCode,postalCode,address
2995 Lincoln Farm Road,,,Hodgenville,KY,42748,"2995 Lincoln Farm Road, , , Hodgenville, KY, 42748"
25 Visitor Center Road,Hulls Cove Visitor Center,,Bar Harbor,ME,04609,"25 Visitor Center Road, Hulls Cove Visitor Center, , Bar Harbor, ME, 04609"
135 Adams Street,,,Quincy,MA,02169,"135 Adams Street, , , Quincy, MA, 02169"
1925 Vermont Avenue Northwest,,,Washington,DC,20001,"1925 Vermont Avenue Northwest, , , Washington, DC, 20001"
African Burial Ground National Monument,290 Broadway,1st Floor,New York,NY,10007,"African Burial Ground National Monument, 290 Broadway, 1st Floor, New York, NY, 10007"
301 River Road,,,Harrison,NE,69346,"301 River Road, , , Harrison, NE, 69346"
Superintendent,Ala Kahakai National Historic Trail,"73-4786 Kanalani Street, #14",Kailua-Kona,HI,96740,"Superintendent, Ala Kahakai National Historic Trail, 73-4786 Kanalani Street, #14, Kailua-Kona, HI, 96740"
"1000 Silver St., Bldg. 603",PO Box 7,,King Salmon,AK,99613,"1000 Silver St., Bldg. 603, PO Box 7, , King Salmon, AK, 99613"
605 West 4th Avenue,Suite 105,,Anchorage,AK,99501,"605 West 4th Avenue, Suite 105, , Anchorage, AK, 99501"
Alcatraz Island,,,San Francisco Bay,CA,94133,"Alcatraz Island, , , San Francisco Bay, CA, 94133"
"Affiliated Areas, Alaska Regional Office",National Park Service,240 W 5th Avenue,Anchorage,AK,99501,"Affiliated Areas, Alaska Regional Office, National Park Service, 240 W 5th Avenue, Anchorage, AK, 99501"
37084 Alibates Rd.,,,Potter County,TX,79036,"37084 Alibates Rd., , , Potter County, TX, 79036"
110 Federal Park Road,,,Gallitzin,PA,16641,"110 Federal Park Road, , , Gallitzin, PA, 16641"
County Rd 23 5/10,,,Granada,CO,81041,"County Rd 23 5/10, , , Granada, CO, 81041"
Beach Road,,,Saipan,MP,96950,"Beach Road, , , Saipan, MP, 96950"
10477 Highway 90 West,,,Del Rio,TX,78840,"10477 Highway 90 West, , , Del Rio, TX, 78840"
"1900 Anacostia Drive, S.E.",,,Washington,DC,20020,"1900 Anacostia Drive, S.E., , , Washington, DC, 20020"
Andersonville National Cemetery,National Prisoner of War Museum,496 Cemetery Road,Andersonville,GA,31711,"Andersonville National Cemetery, National Prisoner of War Museum, 496 Cemetery Road, Andersonville, GA, 31711"
Andrew Johnson NHS,,,Greeneville,TN,37743,"Andrew Johnson NHS, , , Greeneville, TN, 37743"
"1000 Silver St., Bldg. 603",PO Box 7,,KIng Salmon,AK,99613,"1000 Silver St., Bldg. 603, PO Box 7, , KIng Salmon, AK, 99613"
5831 Dunker Church Rd.,,,Sharpsburg,MD,21782,"5831 Dunker Church Rd., , , Sharpsburg, MD, 21782"
415 Washington Avenue,,,Bayfield,WI,54814,"415 Washington Avenue, , , Bayfield, WI, 54814"
Appalachian Trail Park Office,P.O. Box 50,,Harpers Ferry,WV,25425,"Appalachian Trail Park Office, P.O. Box 50, , Harpers Ferry, WV, 25425"
Appomattox Court House National Historical Park,239 George Peers Drive,,Appomattox,VA,24522,"Appomattox Court House National Historical Park, 239 George Peers Drive, , Appomattox, VA, 24522"
"5 miles north of Moab, Utah, on US 191",,,Moab,UT,84532,"5 miles north of Moab, Utah, on US 191, , , Moab, UT, 84532"
1741 Old Post Road,,,Gillett,AR,72055,"1741 Old Post Road, , , Gillett, AR, 72055"
"Arlington House, The Robert E. Lee Memorial",Arlington National Cemetery,,Arlington,VA,22211,"Arlington House, The Robert E. Lee Memorial, Arlington National Cemetery, , Arlington, VA, 22211"
7206 National Seashore Lane,,,Berlin,MD,21811,"7206 National Seashore Lane, , , Berlin, MD, 21811"
725 Ruins Road,,,Aztec,NM,87410,"725 Ruins Road, , , Aztec, NM, 87410"
25216 Ben Reifel Road,,,Interior,SD,57750,"25216 Ben Reifel Road, , , Interior, SD, 57750"
Baltimore Washington Parkway,,,Greenbelt,MD,20770,"Baltimore Washington Parkway, , , Greenbelt, MD, 20770"
Bandelier National Monument,15 Entrance RD,,Los Alamos,NM,87544,"Bandelier National Monument, 15 Entrance RD, , Los Alamos, NM, 87544"
144 Constitution Ave NE,,,Washington,DC,20002,"144 Constitution Ave NE, , , Washington, DC, 20002"
35110 State Highway 194,,,La Junta,CO,81050,"35110 State Highway 194, , , La Junta, CO, 81050"
214 Front St.,Sitnasuak Building,,Nome,AK,99762,"214 Front St., Sitnasuak Building, , Nome, AK, 99762"
1 Panther Junction,,,Big Bend National Park,TX,79834,"1 Panther Junction, , , Big Bend National Park, TX, 79834"
33100 Tamiami Trail East,,,Ochopee,FL,34141,"33100 Tamiami Trail East, , , Ochopee, FL, 34141"
16425 Highway 43 West,,,Wisdom,MT,59761,"16425 Highway 43 West, , , Wisdom, MT, 59761"
4564 Leatherwood Road,,,Oneida,TN,37841,"4564 Leatherwood Road, , , Oneida, TN, 37841"
6102 FM 420,,,Kountze,TX,77625,"6102 FM 420, , , Kountze, TX, 77625"
Bighorn Canyon National Recreation Area South District Visitor Center,20 US Hwy 14A,,Lovell,WY,82431,"Bighorn Canyon National Recreation Area South District Visitor Center, 20 US Hwy 14A, , Lovell, WY, 82431"
A.G. Gaston Motel,1520 5th Avenue North,,Birmingham,AL,35203,"A.G. Gaston Motel, 1520 5th Avenue North, , Birmingham, AL, 35203"
9700 SW 328th Street,Sir Lancelot Jones Way,,Homestead,FL,33033,"9700 SW 328th Street, Sir Lancelot Jones Way, , Homestead, FL, 33033"
South Rim Visitor Center,9800 Highway 347,,Montrose,CO,81401,"South Rim Visitor Center, 9800 Highway 347, , Montrose, CO, 81401"
67 Roosevelt Ave,,,Pawtucket,RI,02860,"67 Roosevelt Ave, , , Pawtucket, RI, 02860"
501 South Abbott Street,,,Marfa,TX,79843,"501 South Abbott Street, , , Marfa, TX, 79843"
Milepost 384,,,Asheville,NC,28803,"Milepost 384, , , Asheville, NC, 28803"
3405 Pipestem Drive,,,Pipestem,WV,25979,"3405 Pipestem Drive, , , Pipestem, WV, 25979"
12130 Booker T. Washington Highway,,,Hardy,VA,24101,"12130 Booker T. Washington Highway, , , Hardy, VA, 24101"
15 State Street,Boston African American National Historical Site,,Boston,MA,02109,"15 State Street, Boston African American National Historical Site, , Boston, MA, 02109"
15 State Street,4th Floor,,Boston,MA,02109,"15 State Street, 4th Floor, , Boston, MA, 02109"
Boston National Historical Park,21 Second Ave,,Charlestown,MA,02129,"Boston National Historical Park, 21 Second Ave, , Charlestown, MA, 02129"
260 Bethany Rd,,,Guntown,MS,38849,"260 Bethany Rd, , , Guntown, MS, 38849"
1515 SE Monroe Street,,,Topeka,KS,66612-1143,"1515 SE Monroe Street, , , Topeka, KS, 66612-1143"
Highway 63,Bryce Canyon National Park,,Bryce,UT,84764,"Highway 63, Bryce Canyon National Park, , Bryce, UT, 84764"
2100 Church St. #100,,,"Christiansted, St. Croix",VI,00820,"2100 Church St. #100, , , Christiansted, St. Croix, VI, 00820"
170 Ranger Road,,,St. Joe,AR,72675,"170 Ranger Road, , , St. Joe, AR, 72675"
1800 Cabrillo Memorial Drive,,,San Diego,CA,92106,"1800 Cabrillo Memorial Drive, , , San Diego, CA, 92106"
National Trails Office Regions 6|7|8,California National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,"National Trails Office Regions 6|7|8, California National Historic Trail, 1100 Old Santa Fe Trail, Santa Fe, NM, 87505"
6614 Danville Road Loop 2,,,Nicholasville,KY,40356,"6614 Danville Road Loop 2, , , Nicholasville, KY, 40356"
"Apollo Visitor Center,",7611 S Atlantic Ave,,New Smyrna Beach,FL,32169,"Apollo Visitor Center,, 7611 S Atlantic Ave, , New Smyrna Beach, FL, 32169"
"4386 Highway 494, Natchez, LA 71456 (Oakland )","5549 Highway 119, Cloutierville, LA  71416 (Magnolia)",,Natchitoches Parish,LA,71457,"4386 Highway 494, Natchez, LA 71456 (Oakland ), 5549 Highway 119, Cloutierville, LA  71416 (Magnolia), , Natchitoches Parish, LA, 71457"
3 miles E of Highway 191 on Route 7,,,Chinle,AZ,86503,"3 miles E of Highway 191 on Route 7, , , Chinle, AZ, 86503"
Island in the Sky - 33 miles from Moab on UT 313,The Needles - 49 miles from Monticello on UT 211,The Maze - 68 miles from Hanksville off UT 24 - unpaved roads,Moab,UT,84532,"Island in the Sky - 33 miles from Moab on UT 313, The Needles - 49 miles from Monticello on UT 211, The Maze - 68 miles from Hanksville off UT 24 - unpaved roads, Moab, UT, 84532"
50 Nauset Road,,,Eastham,MA,02642,"50 Nauset Road, , , Eastham, MA, 02642"
46375 Lighthouse Road,Cape Hatteras Light Station,,Buxton,NC,27920,"46375 Lighthouse Road, Cape Hatteras Light Station, , Buxton, NC, 27920"
Atlantic Ave,,,Fort Story,VA,23459,"Atlantic Ave, , , Fort Story, VA, 23459"
171 3rd Ave,,,Kotzebue,AK,99752,"171 3rd Ave, , , Kotzebue, AK, 99752"
1800 Island Rd,,,Harkers Island,NC,28531,"1800 Island Rd, , , Harkers Island, NC, 28531"
Capitol Hill Parks are spread out in various locations on Capitol Hill,,,Washington,DC,20003,"Capitol Hill Parks are spread out in various locations on Capitol Hill, , , Washington, DC, 20003"
52 West Headquarters Drive,,,Torrey,UT,84775,"52 West Headquarters Drive, , , Torrey, UT, 84775"
1368 Colonial Parkway,,,Jamestown,VA,23081,"1368 Colonial Parkway, , , Jamestown, VA, 23081"
46 volcano Highway,,,Capulin,NM,88414,"46 volcano Highway, , , Capulin, NM, 88414"
