Alert,parkCode,Description,Date,Park Name
NPS Chainsaw training at Arcola Day Use Area and Osceola Glade,sacn,"NPS chainsaw training will be occurring at Arcola Day Use Area and Osceola Glade April 5-14. To ensure public safety, access to areas within these units will be restricted during the training.",2023-04-05 18:35:18.0,Saint Croix National Scenic Riverway
"Road Closures During the Revolutionary Run - Sunday, April 16",vafo,Closures from 4:30 AM to 11 AM on 4/16. Outer Line Dr closed between the park entrance on Rt 23 and Rt 252. Inner Line Dr closed at all Rt 23 intersections. Gulph Rd closed between Rt 23 and intersection with Thomas Rd. County Line Rd closed at Rt 23.,2023-04-05 17:00:23.0,Valley Forge National Historical Park
Covered Bridge Closed Due to PennDOT Road Work,vafo,"The Covered Bridge, located at the intersection of Valley Creek Rd/Rt 252 and Yellow Springs Rd, is temporarily closed today due to PennDOT road work on Yellow Springs Rd. The estimated time of reopening is 2 PM on Wed. Apr. 5, 2023.",2023-04-05 09:59:31.0,Valley Forge National Historical Park
Temporary Closure of Lower Parking Lot Restroom for Renovations,vafo,"Beginning Monday, Jan 9, 2023, the restroom in the lower lot near the visitor center will be closed for renovations. Portable toilets will be available for public use. Anticipated reopening of the facility at the end of April 2023",2023-01-10 11:09:10.0,Valley Forge National Historical Park
County Line Road Closed Monday To Friday,vafo,"County Line Road is temporarily closed during the week, from Monday through Friday due to heavy construction traffic. The closure will apply to all vehicular, pedestrian, and bicycle traffic. Please find an alternate route.",2021-02-01 09:30:55.0,Valley Forge National Historical Park
No Ferry Service on Mondays or Tuesdays,foma,"The ferry service to the fort is closed on Monday & Tuesday. However, the visitor center and surrounding grounds remain open seven days a week.",2023-04-05 16:55:18.0,Fort Matanzas National Monument
Credit/Debit Card only for park entrance fees starting May 1st,prwi,"Starting May 1, 2023, Prince William Forest Park will enter a trial period of no longer accepting cash for park entrance fees. Entrance fees and passes can be purchased with credit/debit card or online through recreation.gov.",2023-04-05 16:50:22.0,Prince William Forest Park
Prince William Forest RV Campground will be closed until July 2023,prwi,"Due to infrastructure improvements, the concession operated RV campground off of Hwy 234 will be closed until July 2023.",2023-03-25 15:51:13.0,Prince William Forest Park
Closure of Campsites in Park Campgrounds,prwi,"Due to infrastructure improvements this summer, Turkey Run Group Campground will be closed 6-20-23 thru 10-27-23, Cabin Camp 3 will remain closed until 8-2-23, and campsite A1-A24 of Oak Ridge Campground will be closed 8-1-23 thru 11-16-23.",2023-02-22 11:53:42.0,Prince William Forest Park
Graves Creek Road and East Fork Quinault Trail Closure,olym,"Graves Creek Road, Graves Creek Campground and East Fork Quinault Trail closed to pedestrian and vehicle traffic from April 17 to May 25, 2023 during road and foot bridge repairs.",2023-04-05 16:39:56.0,Olympic National Park
"Sol Duc Campground Opening Delayed until April 7, 2023 or Later",olym,"The Sol Duc Road opened on March 28th, 2023, however, the Sol Duc campground will not open until April 7th. Delays are due to heavy snow and additional maintenance that is needed.",2023-04-02 11:22:03.0,Olympic National Park
Closure of the Hurricane Ridge Day Lodge,olym,"From approximately April 2023 to May 2024, the Hurricane Ridge Day Lodge will be closed while it undergoes a major rehabilitation project, funded through the Great American Outdoors Act. Temporary facilities will serve visitors to Hurricane Ridge.",2023-03-29 13:22:29.0,Olympic National Park
"Hurricane Ridge Closed for Construction March 27 through May 25, 2023.",olym,"As a major rehabilitation of the Hurricane Ridge Day Lodge begins, Hurricane Ridge and Hurricane Ridge Road will be closed to vehicle, bicycle, and foot traffic for visitors' safety. Hurricane Ridge will reopen for Memorial Day weekend.",2023-03-20 15:46:28.0,Olympic National Park
"Construction at Rialto Beach March 20 to April 10, 2023",olym,"During replacement of the toilets at Rialto Beach, there will be changes to parking availability and accessibility at Rialto Beach. The Rialto Beach area will be closed to the public on March 28, 2023.",2023-03-17 12:05:54.0,Olympic National Park
Olympic National Park Visitor Center Open During Race St. Construction,olym,A City of Port Angeles construction project is underway to improve the Race Street corridor near the Olympic National Park Visitor Center. The visitor center will remain open over the course of the project.,2023-03-03 14:09:51.0,Olympic National Park
Heart O' the Hills Campground and Heart O' the Forest Trail temporarily closed,olym,"The Heart O' the Hills Campground and Heart O' the Forest Trail will be closed from March 1 to May 12, 2023, during rehabilitation of water and wastewater systems.",2023-02-10 20:38:51.0,Olympic National Park
"Closure of recreational fishing in the Queets, Salmon, and Quinault Rivers",olym,"Due to significant and ongoing conservation concerns, the Queets, Salmon, and Quinault Rivers will be closed to recreational fishing until June 1, 2023.",2022-12-01 18:26:48.0,Olympic National Park
East Fork Quinault Trail Closed to Stock,olym,"Due to repairs on the Pony Bridge, it will be impassable to stock. The trail will be closed to stock from September 14, 2022 until repairs are completed in the spring. Hikers will still be able to pass until the final stage of repairs.",2022-09-07 17:37:39.0,Olympic National Park
Visitor Center Open Late on April 6th,adam,On April 6th the Visitor Center will open at 1pm. It will remain open until 4pm. We will resume our regular hours of 10am to 4pm on Friday.,2023-04-05 16:23:14.0,Adams National Historical Park
