Alert,Description,Date
Kolob Canyons Road partially closed,"The road is open as far as Taylor Creek Trailhead. No one (including drivers, hikers, and bikers) can go past this trailhead due to road damage. We will remove this alert when the road is opened. This does not affect Zion Canyon Shuttle System service",2023-04-03 20:50:53.0
Park Closure due to Winter Weather,"Badlands National Park will be closed Tuesday, April 4th due to Winter Weather Conditions. This closure could extend into Wednesday, April 5th. Travel is not advised. Please keep updated with road conditions and travel advisories throughout South Dakota",2023-04-03 19:38:44.0
"Boaters: Gale Warning is in effect until 9 pm on Monday, April 3.","The Nat. Weather Serv. has issued a Gale Warning for coastal waters between Point Arena & Point Reyes, including Tomales Bay. A gale warning means winds of 34–47 knots (39–54 mph) are imminent or occurring. Inexperienced mariners should seek safe harbor.",2023-04-03 18:28:14.0
Road to Rim Village is Temporarily CLOSED,"The road from Park Headquarters to Rim Village remains CLOSED due to a recent winter storm with more snow on the way. If you plan to travel to the park, please be prepared and use caution. Heavy snow, high winds, and whiteout conditions may occur.",2023-04-03 17:31:56.0
"Visitor Center Closed and Tours Cancelled - April 4, 2023","The visitor center is closed and tours are canceled Tuesday, April 4, due to a winter storm. The Adventures in Nature program is also canceled and will not be rescheduled.",2023-04-03 17:28:31.0
Temporary Closure - Echo Bay Primitive Dirt Launch Ramp,"Park facilities crews have encountered water-saturated silt that can trap vehicles at the primitive, dirt launch ramp at Echo Bay. For now, the area will be open to paddle craft only.",2023-04-03 17:21:01.0
PARK CLOSED - TUZIGOOT FIRE,"Due to a fire within park boundary, the park is closed until further notice. Please visit our social media for updates and information. https://www.nps.gov/tuzi/learn/news/tuzigoot-fire-grows-to-100-acres.htm",2023-04-03 17:09:41.0
Green River Ferry Closed Due To Mechanical Issue on Gate,"The Green River Ferry is closed until further notice because of a mechanical issue with the closing gate. Repairs are expected to begin the morning of Tuesday, April 4.",2023-04-03 16:59:01.0
"Road Closures During the Revolutionary Run - Sunday, April 16",Closures from 7:30 AM to 11 AM on 4/16. Outer Line Dr closed between the park entrance on Rt 23 and Baptist Rd. Inner Line Dr closed at all Rt 23 intersections. Gulph Rd closed between Rt 23 and intersection with Thomas Rd. County Line Rd closed at Rt 23.,2023-04-03 16:49:10.0
Park Closed Tuesday April 4th,The park will be closed on April 4th due to a blizzard warning.,2023-04-03 16:47:59.0
