Park Name,Description,Entrance Fees,Directions,Operating Hours,Address
Abraham Lincoln Birthplace National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. Visit our country's first memorial to Lincoln, built with donations from young and old, and the site of his childhood home.","[{'cost': '0.00', 'description': 'There is no fee associated with visiting either unit of the park.', 'title': 'Fee Free Park'}]",The Birthplace Unit of the park is located approximately 2 miles south of the town of Hodgenville on U.S. Highway 31E South. The Boyhood Home Unit at Knob Creek is located approximately 10 miles northeast of the Birthplace Unit of the park.,"[{'exceptions': [{'exceptionHours': {}, 'startDate': '2023-11-24', 'name': 'Park is Closed', 'endDate': '2023-11-24'}, {'exceptionHours': {}, 'startDate': '2023-12-25', 'name': 'Park is Closed', 'endDate': '2023-12-25'}, {'exceptionHours': {}, 'startDate': '2024-01-01', 'name': 'Park is Closed', 'endDate': '2024-01-01'}], 'description': 'Memorial Building:\nopen 9:00 am - 4:30 pm eastern time.\n\nBirthplace Unit Visitor Center and Grounds: \nopen 9:00 am - 5:00 pm eastern time.', 'standardHours': {'wednesday': '9:00AM - 5:00PM', 'monday': '9:00AM - 5:00PM', 'thursday': '9:00AM - 5:00PM', 'sunday': '9:00AM - 5:00PM', 'tuesday': '9:00AM - 5:00PM', 'friday': '9:00AM - 5:00PM', 'saturday': '9:00AM - 5:00PM'}, 'name': 'Birthplace Unit'}, {'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': '10:00AM - 4:00PM', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': '10:00AM - 4:00PM'}, 'startDate': '2023-04-01', 'name': 'Spring Hours - Visitor Center at Knob Creek', 'endDate': '2023-05-31'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': '10:00AM - 4:00PM', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': '10:00AM - 4:00PM'}, 'startDate': '2023-09-01', 'name': 'Fall Hours - Knob Creek Visitor Center', 'endDate': '2023-10-31'}], 'description': 'The Boyhood Home Unit at Knob Creek Grounds:\nopen daily dawn to dusk.\n\nKnob Creek Tavern Visitor Center:\nopen on weekends in April, May, September and October and 5 days a week from Memorial Day to Labor day from 10 am to 4pm (Thursday - Monday) closed for the winter.', 'standardHours': {'wednesday': 'Closed', 'monday': '10:00AM - 4:00PM', 'thursday': '10:00AM - 4:00PM', 'sunday': '10:00AM - 4:00PM', 'tuesday': 'Closed', 'friday': '10:00AM - 4:00PM', 'saturday': '10:00AM - 4:00PM'}, 'name': 'Boyhood Unit'}]","[{'postalCode': '42748', 'city': 'Hodgenville', 'stateCode': 'KY', 'line1': '2995 Lincoln Farm Road', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '42748', 'city': 'Hodgenville', 'stateCode': 'KY', 'line1': '2995 Lincoln Farm Road', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
Acadia National Park,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 4 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.","[{'cost': '35.00', 'description': 'Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. Valid for 7 days. If a vehicle pass is purchased, no other pass is necessary.', 'title': 'Acadia Entrance Fee - Private Vehicle'}, {'cost': '30.00', 'description': 'Admits one or two passengers on a private, non-commercial motorcycle. Valid for 7 days.', 'title': 'Acadia Entrance Fee - Motorcycle'}, {'cost': '20.00', 'description': 'Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Valid for 7 days.', 'title': 'Acadia Entrance Fee - Per Person'}]","From Boston take I-95 north to Augusta, Maine, then Route 3 east to Ellsworth, and on to Mount Desert Island. For an alternate route, continue on I-95 north to Bangor, Maine, then take I-395 to U.S. Route 1A east to Ellsworth. In Ellsworth, take Route 3 to Mount Desert Island.","[{'exceptions': [], 'description': 'Acadia National Park is open year-round. Check our website for park facilities operating hours, such as Hulls Cove Visitor Center.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Acadia National Park'}]","[{'postalCode': '04609', 'city': 'Bar Harbor', 'stateCode': 'ME', 'line1': '25 Visitor Center Road', 'type': 'Physical', 'line3': '', 'line2': 'Hulls Cove Visitor Center'}, {'postalCode': '04609', 'city': 'Bar Harbor', 'stateCode': 'ME', 'line1': 'PO Box 177', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
Adams National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesman, philosophers … and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.","[{'cost': '15.00', 'description': 'Individual tour tickets and annual digtital pass can be purchased on Recreation.gov or at the Adams National Historical Park Visitor Center.\n\nThe entrance fee is for all visitors age 16 and older.  Children under 16 are free. Credit or Debit Card only.', 'title': 'Individual Entrance Fee - 2023'}]","Traveling on U.S. Interstate 93, take exit 7 - Route 3 South to Braintree and Cape Cod. Take the first exit off Route 3 south - exit 42 - and follow signs toward Quincy Center. Continue straight on Burgin Parkway through six traffic lights. At the seventh traffic light, turn right onto Dimmock Street. Follow Dimmock Street one block and turn right onto Hancock Street. The National Park Service Visitor Center, located at 1250 Hancock Street on your left. Validated parking is in the garage to the rear.","[{'exceptions': [], 'description': 'The historic homes for Adams National Historical Park are now closed.  The Visitor Center will be open Monday to Friday, 10:00 a.m. to 4:00 p.m.  The historic homes are anticipated to reopen on May 3, 2023.', 'standardHours': {'wednesday': '10:00AM - 4:00PM', 'monday': '10:00AM - 4:00PM', 'thursday': '10:00AM - 4:00PM', 'sunday': 'Closed', 'tuesday': '10:00AM - 4:00PM', 'friday': '10:00AM - 4:00PM', 'saturday': 'Closed'}, 'name': 'Winter Hours'}]","[{'postalCode': '02169', 'city': 'Quincy', 'stateCode': 'MA', 'line1': '135 Adams Street', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '02169', 'city': 'Quincy', 'stateCode': 'MA', 'line1': '135 Adams Street', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
African American Civil War Memorial,"Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice.","[{'cost': '0.00', 'description': 'No Entrance Fee to enter park site.', 'title': 'No Entrance Fee'}]","The memorial is located at the corner of Vermont Avenue, 10th St, and U Street NW, near the U Street/African-American Civil War Memorial/Cardozo Metro Station.","[{'exceptions': [], 'description': 'The African American Civil War Memorial is always open to the public.  There are no Rangers on duty at this site (except for special events). The United States Park Police are on duty 24 hours a day.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Always Open'}]","[{'postalCode': '20001', 'city': 'Washington', 'stateCode': 'DC', 'line1': '1925 Vermont Avenue Northwest', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '20242', 'city': 'Washington', 'stateCode': 'DC', 'line1': '1100 Ohio Drive SW', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
African Burial Ground National Monument,African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It protects the historic role slavery played in building New York,"[{'cost': '0.00', 'description': 'Admission to this park site is free of charge.', 'title': 'Entrance Fee'}]",The African Burial Ground National Monument is located on the first floor of the Ted Weiss Federal Building located at 290 Broadway in Lower Manhattan; close to Foley Square and just north of City Hall. Our visitor center is located mid-block on Broadway between the cross streets of Duane Street and Reade Streets.,"[{'exceptions': [{'exceptionHours': {'monday': '10:00AM - 4:00PM'}, 'startDate': '2023-05-30', 'name': 'Memorial Day', 'endDate': '2023-05-30'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-11-24', 'name': 'Thanksgiving Holiday Closure', 'endDate': '2023-11-24'}, {'exceptionHours': {'monday': '10:00AM - 4:00PM'}, 'startDate': '2024-01-16', 'name': 'Birthday of Dr. Martin Luther King, Jr.', 'endDate': '2024-01-16'}, {'exceptionHours': {'monday': '10:00AM - 4:00PM'}, 'startDate': '2023-06-19', 'name': 'Juneteenth National Independence Day', 'endDate': '2023-06-19'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-07-04', 'name': 'Independence Day Closure', 'endDate': '2023-07-04'}, {'exceptionHours': {'monday': '10:00AM - 4:00PM'}, 'startDate': '2023-09-04', 'name': 'Labor Day', 'endDate': '2023-09-04'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-10-09', 'name': 'Columbus Day Closure', 'endDate': '2023-10-09'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-12-25', 'name': 'Christmas Holiday Closure', 'endDate': '2023-12-25'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2024-01-01', 'name': ""New Year's Day Closure"", 'endDate': '2024-01-01'}, {'exceptionHours': {'monday': '10:00AM - 4:00PM'}, 'startDate': '2024-02-19', 'name': ""Washington's Birthday"", 'endDate': '2024-02-19'}], 'description': 'INDOOR VISITOR CENTER AND MUSEUM', 'standardHours': {'wednesday': '10:00AM - 4:00PM', 'monday': 'Closed', 'thursday': '10:00AM - 4:00PM', 'sunday': 'Closed', 'tuesday': '10:00AM - 4:00PM', 'friday': '10:00AM - 4:00PM', 'saturday': '10:00AM - 4:00PM'}, 'name': 'INDOOR VISITOR CENTER AND MUSEUM'}, {'exceptions': [{'exceptionHours': {'monday': '10:00AM - 5:00PM'}, 'startDate': '2023-05-30', 'name': 'Memorial Day', 'endDate': '2023-05-30'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-11-24', 'name': 'Thanksgiving Holiday Closure', 'endDate': '2023-11-24'}, {'exceptionHours': {'monday': '10:00AM - 4:00PM'}, 'startDate': '2024-01-16', 'name': 'Birthday of Dr. Martin Luther King, Jr.', 'endDate': '2024-01-16'}, {'exceptionHours': {'wednesday': '10:00AM - 5:00PM', 'thursday': '10:00AM - 5:00PM', 'tuesday': '10:00AM - 5:00PM', 'friday': '10:00AM - 5:00PM', 'saturday': '10:00AM - 5:00PM'}, 'startDate': '2023-05-07', 'name': 'Outdoor Memorial Summer Hours', 'endDate': '2023-09-09'}, {'exceptionHours': {'monday': '10:00AM - 5:00PM'}, 'startDate': '2023-06-19', 'name': 'Juneteenth National Independence Day', 'endDate': '2023-06-19'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-07-04', 'name': 'Independence Day Closure', 'endDate': '2023-07-04'}, {'exceptionHours': {'monday': '10:00AM - 5:00PM'}, 'startDate': '2023-09-04', 'name': 'Labor Day', 'endDate': '2023-09-04'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-10-09', 'name': 'Columbus Day Closure', 'endDate': '2023-10-09'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-12-25', 'name': 'Christmas Holiday Closure', 'endDate': '2023-12-25'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2024-01-01', 'name': ""New Year's Day Closure"", 'endDate': '2024-01-01'}, {'exceptionHours': {'monday': '10:00AM - 4:00PM'}, 'startDate': '2024-02-19', 'name': ""Washington's Birthday"", 'endDate': '2024-02-19'}], 'description': 'OUTDOOR MEMORIAL', 'standardHours': {'wednesday': '10:00AM - 4:00PM', 'monday': 'Closed', 'thursday': '10:00AM - 4:00PM', 'sunday': 'Closed', 'tuesday': '10:00AM - 4:00PM', 'friday': '10:00AM - 4:00PM', 'saturday': '10:00AM - 4:00PM'}, 'name': 'OUTDOOR MEMORIAL'}]","[{'postalCode': '10007', 'city': 'New York', 'stateCode': 'NY', 'line1': 'African Burial Ground National Monument', 'type': 'Physical', 'line3': '1st Floor', 'line2': '290 Broadway'}, {'postalCode': '10005', 'city': 'New York', 'stateCode': 'NY', 'line1': 'African Burial Ground NM', 'type': 'Mailing', 'line3': '26 Wall St', 'line2': 'C/O Federal Hall National Memorial'}]"
Agate Fossil Beds National Monument,"In the early 1900s, paleontologists unearthed the Age of Mammals when they found full skeletons of extinct Miocene mammals in the hills of Nebraska -- species previously only known through fragments. At the same time, an age of friendship began between rancher James Cook and Chief Red Cloud of the Lakota. These two unprecedented events are preserved and protected here... at Agate Fossil Beds.","[{'cost': '0.00', 'description': 'There is no fee for the visitor center or trails at Agate Fossil Beds National Monument.', 'title': 'Admission is free.'}]","From US 20: 22 miles south of Harrison, NE on State Hwy 29, then three miles east on River Road (paved) From US 26: 34 miles north of Mitchell, NE on State Hwy 29, then three miles east on River Road (paved). From State Hwy 71: 25 miles west on the unpaved portion of River Road.","[{'exceptions': [], 'description': ""The park's two trails are open from dawn till dusk every day.\n\nVisitor Center features Miocene Mammal fossils, a 12 minute movie, and the James H. Cook Collection,  a unique collection of American Indian artifacts that were gifts to James Cook and his family."", 'standardHours': {'wednesday': 'Sunrise to Sunset', 'monday': 'Sunrise to Sunset', 'thursday': 'Sunrise to Sunset', 'sunday': 'Sunrise to Sunset', 'tuesday': 'Sunrise to Sunset', 'friday': 'Sunrise to Sunset', 'saturday': 'Sunrise to Sunset'}, 'name': 'Trails'}, {'exceptions': [{'exceptionHours': {'wednesday': '8:00AM - 4:00PM', 'monday': '8:00AM - 4:00PM', 'thursday': '8:00AM - 4:00PM', 'sunday': '8:00AM - 4:00PM', 'tuesday': '8:00AM - 4:00PM', 'friday': '8:00AM - 4:00PM', 'saturday': '8:00AM - 4:00PM'}, 'startDate': '2022-10-01', 'name': 'Winter Hours', 'endDate': '2023-05-14'}], 'description': 'Summer hours to Sep 30: 9:00am to 5:00pm daily. Please note Agate Fossil Beds is in the Mountain Time Zone.', 'standardHours': {'wednesday': '9:00AM - 5:00PM', 'monday': '9:00AM - 5:00PM', 'thursday': '9:00AM - 5:00PM', 'sunday': '9:00AM - 5:00PM', 'tuesday': '9:00AM - 5:00PM', 'friday': '9:00AM - 5:00PM', 'saturday': '9:00AM - 5:00PM'}, 'name': 'Visitor Center'}]","[{'postalCode': '69346', 'city': 'Harrison', 'stateCode': 'NE', 'line1': '301 River Road', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '69346', 'city': 'Harrison', 'stateCode': 'NE', 'line1': '301 River Road', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
Ala Kahakai National Historic Trail,"Established in 2000 to preserve, protect and interpret traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor encompassing a network of culturally and historically significant trails. This ""trail by the sea"" traverses wahi pana (storied landscapes), ancient Hawaiian sites and over 200 ahupuaʻa (traditional land divisions). Connect now!","[{'cost': '0.00', 'description': 'Free', 'title': 'Fees'}]","Open sections of the Ala Kahakai NHT can be accessed through the four Hawai'i Island National Parks: Hawaiʻi Volcanoes NP, Pu'uhonua o Hōnaunau NHP, Kaloko-Honokōhau NHP and Pu'ukoholā Heiau NHS. The Nā Ala Hele State Trails and Access Programʻs ""Ala Kahakai Trail"" in South Kohala is also open to the public. Additional sections of the trail are opened as they are sufficiently managed to protect the trail and associated areas.","[{'exceptions': [], 'description': 'Hours vary dependent on trail section.', 'standardHours': {'wednesday': 'Sunrise to Sunset', 'monday': 'Sunrise to Sunset', 'thursday': 'Sunrise to Sunset', 'sunday': 'Sunrise to Sunset', 'tuesday': 'Sunrise to Sunset', 'friday': 'Sunrise to Sunset', 'saturday': 'Sunrise to Sunset'}, 'name': 'Ala Kahakai'}]","[{'postalCode': '96740', 'city': 'Kailua-Kona', 'stateCode': 'HI', 'line1': 'Superintendent', 'type': 'Physical', 'line3': '73-4786 Kanalani Street, #14', 'line2': 'Ala Kahakai National Historic Trail'}, {'postalCode': '96740', 'city': 'Kailua-Kona', 'stateCode': 'HI', 'line1': 'Superintendent', 'type': 'Mailing', 'line3': '73-4786 Kanalani Street, #14', 'line2': 'Ala Kahakai National Historic Trail'}]"
Alagnak Wild River,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.","[{'cost': '0.00', 'description': 'None. There is no fee', 'title': 'No Entrance Free'}]","Alagnak Wild River is located in a remote part of the Alaska Peninsula, about 290 miles southwest of Anchorage. Access is by boat or small floatplane.","[{'exceptions': [], 'description': 'Alagnak Wild River is never closed, but access can be difficult during the winter.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Alagnak Wild River'}]","[{'postalCode': '99613', 'city': 'King Salmon', 'stateCode': 'AK', 'line1': '1000 Silver St., Bldg. 603', 'type': 'Physical', 'line3': '', 'line2': 'PO Box 7'}, {'postalCode': '99613', 'city': 'King Salmon', 'stateCode': 'AK', 'line1': 'PO Box 245', 'type': 'Mailing', 'line3': '', 'line2': ''}]"
Alaska Public Lands,"Alaska’s parks, forests, and refuges are rich and varied. The Alaska Public Lands Information Centers help visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. These centers provide trip-planning, interpretation, and education for all ages.","[{'cost': '0.00', 'description': 'No entry fee to visit the visitors center', 'title': 'Free Admittance'}]","Anchorage APLIC is located in downtown Anchorage on 4th Avenue, in the Federal Building. Fairbanks APLIC is located in downtown Fairbanks on the corner of Dunkel Street and Wendell Avenue, near the Chena River.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2022-12-15', 'name': 'COVID-19 Closure', 'endDate': '2023-05-01'}], 'description': 'Summer Hours: 9-5, Every Day, Late May to Mid September, Open Federal Holidays\nWinter Hours: 10-5, Mon-Thur, closed for lunch 12-1, September to Early May, Closed Federal Holidays', 'standardHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'name': 'Anchorage Hours'}, {'exceptions': [{'exceptionHours': {'wednesday': '8:00AM - 5:00PM', 'monday': '8:00AM - 5:00PM', 'thursday': '8:00AM - 5:00PM', 'sunday': 'Closed', 'tuesday': '8:00AM - 5:00PM', 'friday': '8:00AM - 5:00PM', 'saturday': '8:00AM - 5:00PM'}, 'startDate': '2022-09-04', 'name': 'Winter Hours', 'endDate': '2023-05-30'}], 'description': 'Summer Hours: 8-6, Every Day, Memorial Day through Labor Day, Open Federal Holidays\nWinter Hours: 8-5, Mon-Sat, Labor Day through Memorial Day, Closed Federal Holidays\n\n101 Dunkel Street Suite 110\nFairbanks, AK 99701\n\nTelephone: 907.459.3730\nFax: 907.459.3729\nEmail: fair_interpretation@nps.gov', 'standardHours': {'wednesday': '8:00AM - 6:00PM', 'monday': '8:00AM - 6:00PM', 'thursday': '8:00AM - 6:00PM', 'sunday': '8:00AM - 6:00PM', 'tuesday': '8:00AM - 6:00PM', 'friday': '8:00AM - 6:00PM', 'saturday': '8:00AM - 6:00PM'}, 'name': 'Fairbanks Hours'}]","[{'postalCode': '99501', 'city': 'Anchorage', 'stateCode': 'AK', 'line1': '605 West 4th Avenue', 'type': 'Physical', 'line3': '', 'line2': 'Suite 105'}, {'postalCode': '99501', 'city': 'Anchorage', 'stateCode': 'AK', 'line1': '605 West 4th Avenue', 'type': 'Mailing', 'line3': '', 'line2': 'Suite 105'}]"
Alcatraz Island,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.","[{'cost': '41.00', 'description': 'A daily scheduled ferry to Alcatraz has a round-trip fee. Reservations are strongly recommended as we often sell out. See www.alcatrazcitycruises.com for reservations, and ticket types and pricing.', 'title': 'Adult Day Ticket (Ferry and Recorded Cellhouse Tour)'}, {'cost': '48.40', 'description': 'A daily scheduled ferry to Alcatraz has a round-trip fee. Reservations are strongly recommended as we often sell out. See www.alcatrazcitycruises.com for reservations, and ticket types and pricing.', 'title': 'Adult Night Ticket (Ferry and Recorded Cellhouse Tour)'}, {'cost': '93.40', 'description': 'A daily scheduled ferry to Alcatraz has a round-trip fee. Reservations are strongly recommended as we often sell out. See www.alcatrazcitycruises.com for reservations, and ticket types and pricing.', 'title': 'Adult Behind the Scenes Tour Ticket (Ferry and Recorded Cellhouse Tour)'}]",The Alcatraz Ferry Terminal is located on The Embarcadero near the intersection of Bay Street at Pier 33.,"[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-11-24', 'name': 'Thanksgiving', 'endDate': '2023-11-24'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2023-12-25', 'name': 'Christmas', 'endDate': '2023-12-25'}, {'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2024-01-01', 'name': ""New Year's"", 'endDate': '2024-01-01'}], 'description': 'Access to Alcatraz Island is via commercial ferry service . For ticket reservation call (415) 981-ROCK [415.981.7625] or go to www.alcatrazcruises.com. Once on the island you can stay as long as you wish up to the last ferry, which changes seasonally. Alcatraz is closed on Thanksgiving, Christmas and New Years Day. Be aware that  Alcatraz often sells out in advance. In summer and around holidays tickets can sell out a month or more in advance. Tickets go on sale 90 days in advance.', 'standardHours': {'wednesday': '9:00AM - 9:30PM', 'monday': '9:00AM - 6:30PM', 'thursday': '9:00AM - 9:30PM', 'sunday': '9:00AM - 6:30PM', 'tuesday': '9:00AM - 9:30PM', 'friday': '9:00AM - 9:30PM', 'saturday': '9:00AM - 9:30PM'}, 'name': 'Alcatraz Island'}]","[{'postalCode': '94133', 'city': 'San Francisco Bay', 'stateCode': 'CA', 'line1': 'Alcatraz Island', 'type': 'Physical', 'line3': '', 'line2': ''}, {'postalCode': '94123', 'city': 'San Francisco', 'stateCode': 'CA', 'line1': 'Alcatraz Island', 'type': 'Mailing', 'line3': 'B201 Fort Mason', 'line2': 'Golden Gate National Recreation Area'}]"
